transformer.wte.weight                             | shape: (50257, 768) | stride: (768, 1) | numel:38597376 | total bytes: 154389504
transformer.wpe.weight                             | shape: (1024, 768) | stride: (768, 1) | numel:786432 | total bytes: 3145728
transformer.h.0.ln_1.weight                        | shape: (768,) | stride: (1,) | numel:768 | total bytes: 3072
transformer.h.0.ln_1.bias                          | shape: (768,) | stride: (1,) | numel:768 | total bytes: 3072
transformer.h.0.attn.c_attn.weight                 | shape: (768, 2304) | stride: (2304, 1) | numel:1769472 | total bytes: 7077888
transformer.h.0.attn.c_attn.bias                   | shape: (2304,) | stride: (1,) | numel:2304 | total bytes: 9216
transformer.h.0.attn.c_proj.weight                 | shape: (768, 768) | stride: (768, 1) | numel:589824 | total bytes: 2359296
transformer.h.0.attn.c_proj.bias                   | shape: (768,) | stride: (1,) | numel:768 | total bytes: 3072
transformer.h.0.ln_2.weight                        | shape: (768,) | stride: (1,) | numel:768 | total bytes: 3072
transformer.h.0.ln_2.bias                          | shape: (768,) | stride: (1,) | numel:768 | total bytes: 3072
transformer.h.0.mlp.c_fc.weight                    | shape: (768, 3072) | stride: (3072, 1) | numel:2359296 | total bytes: 9437184
transformer.h.0.mlp.c_fc.bias                      | shape: (3072,) | stride: (1,) | numel:3072 | total bytes: 12288
transformer.h.0.mlp.c_proj.weight                  | shape: (3072, 768) | stride: (768, 1) | numel:2359296 | total bytes: 9437184
transformer.h.0.mlp.c_proj.bias                    | shape: (768,) | stride: (1,) | numel:768 | total bytes: 3072
transformer.h.1.ln_1.weight                        | shape: (768,) | stride: (1,) | numel:768 | total bytes: 3072
transformer.h.1.ln_1.bias                          | shape: (768,) | stride: (1,) | numel:768 | total bytes: 3072
transformer.h.1.attn.c_attn.weight                 | shape: (768, 2304) | stride: (2304, 1) | numel:1769472 | total bytes: 7077888
transformer.h.1.attn.c_attn.bias                   | shape: (2304,) | stride: (1,) | numel:2304 | total bytes: 9216
transformer.h.1.attn.c_proj.weight                 | shape: (768, 768) | stride: (768, 1) | numel:589824 | total bytes: 2359296
transformer.h.1.attn.c_proj.bias                   | shape: (768,) | stride: (1,) | numel:768 | total bytes: 3072
transformer.h.1.ln_2.weight                        | shape: (768,) | stride: (1,) | numel:768 | total bytes: 3072
transformer.h.1.ln_2.bias                          | shape: (768,) | stride: (1,) | numel:768 | total bytes: 3072
